id,studentId,courseId,semester,status,grade,timestamp
1,1,1,2025-FALL,COMPLETED,A-,1725300000000
2,2,1,2025-FALL,COMPLETED,B+,1725300060000
3,3,1,2024-FALL,COMPLETED,A,1693764000000
4,4,1,2025-FALL,COMPLETED,B,1725300120000
5,6,1,2024-FALL,COMPLETED,A-,1693764060000
6,3,6,2024-FALL,COMPLETED,B+,1693764120000
7,6,6,2024-FALL,COMPLETED,A-,1693764180000
8,1,6,2025-FALL,COMPLETED,B,1725300180000
9,3,2,2025-SPRING,COMPLETED,B,1710500000000
10,6,2,2025-SPRING,COMPLETED,A,1710500060000
11,1,2,2026-FALL,ENROLLED,,1786100000000
12,2,2,2026-FALL,ENROLLED,,1786100060000
13,4,2,2026-FALL,ENROLLED,,1786100120000
14,1,4,2026-FALL,ENROLLED,,1786100180000
15,2,4,2026-FALL,ENROLLED,,1786100240000
16,4,4,2026-FALL,ENROLLED,,1786100300000
17,5,4,2026-FALL,ENROLLED,,1786100360000
18,5,1,2026-FALL,ENROLLED,,1786100420000
19,3,3,2026-FALL,ENROLLED,,1786100480000
20,6,3,2026-FALL,ENROLLED,,1786100540000
21,4,1,2024-FALL,WITHDRAWN,,1693764240000
